epoch,accuracy,loss,val_accuracy,val_loss
0,0.43936497,2.20218708271337,0.5983930826187134,0.11737795919179916
1,0.68388164,1.1272431584348244,0.7509246468544006,0.0025506841484457254
2,0.76291126,0.8325435813365315,0.7936487793922424,0.6811906695365906
3,0.8067138,0.6760955456111298,0.8190281987190247,0.006082239560782909
4,0.83346087,0.5843026859819266,0.8264251947402954,2.1019086837768555
5,0.8534175,0.5149891237554669,0.8398163318634033,0.008461340330541134
6,0.86272633,0.46987521034270885,0.8515495657920837,0.0005119920242577791
7,0.8756695,0.4284433449023051,0.863792896270752,1.2587354183197021
8,0.8856478,0.39578513247387287,0.8685116767883301,0.0001854724541772157
9,0.89380896,0.3691957318617111,0.8760362267494202,0.00018475732940714806
10,0.89852715,0.34936224515874054,0.8789694905281067,0.003509673522785306
11,0.9055407,0.32778031859918383,0.8782042860984802,0.11896012723445892
12,0.91045016,0.31096306326163725,0.8641754984855652,0.04653213173151016
13,0.9143713,0.2915515136738512,0.887259304523468,0.7474930882453918
14,0.9178143,0.28459226192792014,0.889682412147522,0.09011230617761612
15,0.9217355,0.2692097996576986,0.8900650143623352,1.6533337831497192
16,0.9230426,0.2621576353181719,0.8918505311012268,0.029872952029109
17,0.9272188,0.2511152784204459,0.8852187395095825,0.7314155697822571
18,0.93024737,0.23678766802481563,0.8936359882354736,8.880697714630514e-05
19,0.93260646,0.23028480205129098,0.8862389922142029,0.0005153281381353736
