epoch,accuracy,loss
0,0.5509194,1.7515111886271377
1,0.7940779,0.7960203758671622
2,0.86663777,0.5320856884278093
3,0.9014002,0.40466350722926775
4,0.92246675,0.3252431412593886
5,0.9353465,0.27584568815574095
6,0.94567573,0.23631857859306674
7,0.95276594,0.20847001215357744
8,0.9580709,0.1874662524126699
9,0.9630187,0.1674884944246264
10,0.9663088,0.15562099374946825
11,0.9697263,0.14036624557678437
12,0.97217476,0.12981893999452704
13,0.9753118,0.1202524569683753
14,0.9765615,0.11288142455494021
15,0.9778367,0.10618762951090097
16,0.9803361,0.10055575332799335
17,0.98209596,0.09335304174487004
18,0.98255503,0.0890506735102561
19,0.98377925,0.0838097433779951
