epoch,accuracy,loss,val_accuracy,val_loss
0,0.540519,1.8063587471709754,0.627343475818634,1.1085096597671509
1,0.7836649,0.8502487632517485,0.7339624762535095,5.9705729484558105
2,0.854342,0.5937307256121199,0.7727330923080444,0.09654899686574936
3,0.8873374,0.465049025249919,0.7963269948959351,0.04612661898136139
4,0.9086011,0.3844492888076668,0.8186455965042114,0.09997965395450592
5,0.92269194,0.3286245736547405,0.830633819103241,0.0038550598546862602
6,0.9340729,0.2841899210748184,0.8371381163597107,0.8931577205657959
7,0.9433499,0.25390849949958766,0.8414742946624756,0.7959275245666504
8,0.9489607,0.22831736421423948,0.8468307852745056,0.00046302087139338255
9,0.95575106,0.20476767649549638,0.8544828295707703,0.007423080503940582
10,0.9595448,0.18980566018684517,0.8579263091087341,0.1328965276479721
11,0.9634978,0.17355177552458037,0.8584364056587219,0.058159761130809784
12,0.96611196,0.1605192723056243,0.8639203906059265,0.22192487120628357
13,0.96971434,0.1500421853693764,0.8663435578346252,0.3704255223274231
14,0.9721691,0.1373639834326951,0.8455554246902466,0.00419166125357151
15,0.97532517,0.1287612010176405,0.8723376989364624,0.09974480420351028
16,0.97723794,0.12119869406039817,0.8682566285133362,0.16609875857830048
17,0.9798202,0.11330041098362084,0.8720826506614685,7.164221460698172e-05
18,0.98007524,0.10695982241784088,0.8764188289642334,0.018363581970334053
19,0.9807766,0.10316305293933647,0.8694044351577759,0.0073887649923563
