epoch,accuracy,loss,val_accuracy,val_loss
0,0.627901,1.3048106707011184,0.8362453579902649,0.005820705555379391
1,0.9347424,0.2049590342665541,0.8954215049743652,0.020259590819478035
2,0.9671321,0.10913072694525279,0.9306210875511169,0.0005788319394923747
3,0.975899,0.07417148064173049,0.9191429615020752,0.04218161851167679
4,0.9831676,0.05538843054752165,0.942226767539978,0.0
5,0.98587734,0.044419361415494435,0.9276878237724304,7.787913799285889
6,0.9875032,0.03957298682176223,0.9322790503501892,1.6927575416048057e-05
7,0.9893841,0.03232830517793329,0.9414615631103516,8.546940807718784e-05
8,0.99056363,0.030927605025744584,0.943757176399231,0.007961208000779152
9,0.9937197,0.02103802816140305,0.9436296224594116,0.00015007323236204684
10,0.9913925,0.027306875882095807,0.929090678691864,0.0
11,0.9915519,0.025736866594050428,0.9531947374343872,0.0
12,0.9937516,0.019792893175746683,0.9403137564659119,0.0
13,0.9937835,0.019407711632615277,0.9451600313186646,0.00040141629870049655
14,0.9925083,0.02333688111741394,0.9321514964103699,0.0
15,0.995505,0.015160209708272294,0.9292182326316833,0.0017700018361210823
16,0.99509054,0.016208780523579512,0.950006365776062,0.0
17,0.99222136,0.024187922620899156,0.9503889679908752,3.576278118089249e-07
18,0.99512243,0.01660249016013519,0.9433745741844177,7.152555099310121e-07
19,0.99563247,0.014302404589410574,0.94503253698349,0.00015662873920518905
